0	»	word
1	Genug	word
2	,	word
3	Amalie	word
4	,	word
5	genug	word
6	,	word
7	«	word
8	fiel	word
9	die	word
10	Mutter	AppTdfW
11	ein	word
12	,	word
13	indem	word
14	sie	pron
15	einen	word
16	ängstlichen	word
17	Seitenblick	word
18	auf	word
19	die	word
20	Justizrätin	AppTdfW
21	warf	word
22	.	word
23	»	word

0	könnten	word
1	wir	pron
2	doch	word
3	immer	word
4	zusammen	word
5	sprechen	word
6	,	word
7	der	word
8	lieblichen	word
9	Unordnung	word
10	entsteigt	word
11	alles	word
12	.	word
13	–	word

0	Durchaus	word
1	nicht	word
2	!	word
3	Warum	word

0	alle	word
1	bei	word
2	den	word
3	alten	word
4	Einrichtungen	word
5	interessierte	word
6	,	word
7	an	word
8	empfangne	word
9	Huldigung	word
10	und	word
11	passiven	word
12	blinden	word
13	Gehorsam	word
14	gewöhnte	word
15	Personen	AppA
16	reden	word
17	der	word
18	willkürlichen	word
19	Gewalt	word
20	das	word
21	Wort	word
22	.	word
23	Personen	AppA

0	hatte	word
1	zwar	word
2	Ort	word
3	und	word
4	Gelegenheit	word
5	genug	word
6	,	word
7	meine	pron
8	Sorgen	word
9	auf	word
10	die	word
11	Seite	word
12	zu	word
13	setzen	word
14	,	word
15	aber	word
16	die	word
17	vorige	word
18	Ursach	word
19	und	word
20	noch	word
21	eine	word
22	andere	word
23	,	word
24	die	word
25	der	word
26	Leser	AppTdfW
27	bald	word
28	erfahren	word
29	soll	word
30	,	word
31	hielten	word
32	mich	pron
33	gar	word
34	billig	word
35	an	word
36	meiner	pron
37	Freiheit	word
38	zurücke	word
39	und	word
40	machten	word
41	,	word
42	daß	word
43	ich	pron
44	mich	pron
45	nicht	word
46	wenig	word
47	forchte	word
48	.	word
49	So	word

0	»	word
1	Was	word
2	,	word
3	«	word
4	sagte	word
5	sie	pron
6	,	word
7	»	word
8	weiß	word
9	denn	word
10	der	word
11	Herr	word
12	darum	word
13	?	word
14	«	word
15	–	word

0	Willst	word
1	du	word
2	ihn	word
3	hören	word
4	?	word
5	«	word
6	Pavel	Core

0	sie	pron
1	vor	word
2	dem	word
3	Hause	word
4	hinter	word
5	dem	word
6	Efeuturm	word
7	hielten	word
8	und	word
9	Leonie	Core
10	über	word
11	die	word
12	Rosenterrasse	word
13	verschwunden	word
14	war	word
15	,	word
16	bat	word
17	der	word
18	Amerikaner	AppTdfW
19	den	word
20	schweigsamen	word
21	Gefährten	AppTdfW
22	um	word
23	eine	word
24	kurze	word
25	Unterredung	word
26	.	word
27	»	word

0	hatte	word
1	auf	word
2	die	word
3	Müßiggänger	AppTdfW
4	des	word
5	Palastes	word
6	gezählt	word
7	;	word
8	sie	pron
9	lachte	word
10	sich	pron
11	wegen	word
12	einiger	word
13	Scherze	word
14	,	word
15	die	word
16	sie	pron
17	hörte	word
18	,	word
19	ins	word
20	Fäustchen	word
21	,	word
22	und	word
23	schließlich	word
24	gelang	word
25	es	word
26	ihr	pron
27	,	word
28	die	word
29	Aufmerksamkeit	word
30	Massols	Core
31	auf	word
32	sich	pron
